Date,Adj Close,Close,High,Low,Open,Volume
24/02/2020,200.1174774,200.7200012,203.6499939,198.1699982,201.8000031,23080100
25/02/2020,196.1793365,196.7700043,203.5,195.9499969,202.25,21433500
26/02/2020,196.6080322,197.1999969,201.2100067,195.4900055,197.1900024,16524500
27/02/2020,189.1803894,189.75,195.8800049,189.5,191.8200073,21682600
28/02/2020,191.8922424,192.4700012,192.7400055,181.8200073,182.6999969,32568900
02/03/2020,195.8503113,196.4400024,196.5700073,188.8500061,194.0299988,24949000
03/03/2020,185.3319855,185.8899994,197.2400055,183.9700012,196.2200012,27984100
04/03/2020,191.1843567,191.7599945,191.8300018,186.3899994,189.1699982,23062500
05/03/2020,184.6141357,185.1699982,188.9900055,183.8899994,186.7799988,19333400
06/03/2020,180.5463867,181.0899963,183.7799988,176.2599945,178.3300018,24559600
09/03/2020,168.9911957,169.5,175,165.1900024,169.6000061,29949000
10/03/2020,177.6551056,178.1900024,178.2899933,169.5,174.6699982,24517800
11/03/2020,169.7289734,170.2400055,175.8800049,167.6600037,174.0099945,20373900
12/03/2020,154.0063171,154.4700012,166.6000061,154.3399963,159.5399933,43266300
13/03/2020,169.7688293,170.2799988,170.7899933,157.6000061,163.5299988,35028600
16/03/2020,145.571701,146.0099945,159.1300049,143.1000061,152.3200073,39120400
17/03/2020,148.9714661,149.4199982,153.9400024,140,150.7400055,34255600
18/03/2020,146.5188599,146.9600067,148.1799927,137.1000061,139.75,37553100
19/03/2020,152.6703339,153.1300049,159.9299927,144.8000031,146.6199951,39862300
20/03/2020,149.2805481,149.7299957,159.2700043,148,156.0200043,32568400
23/03/2020,147.6554413,148.1000061,152.3099976,142.25,149.6600037,29830800
24/03/2020,160.4967651,160.9799957,161.3099976,152.5700073,155.2100067,30440400
25/03/2020,155.7410889,156.2100067,162.9900055,153.0599976,158.9199982,35184300
26/03/2020,162.8496857,163.3399963,164,157.0200043,158.25,26556800
27/03/2020,156.3193512,156.7899933,160.0899963,154.75,158.1999969,24879900
30/03/2020,165.4518433,165.9499969,166.75,158.0599976,159.1799927,22515200
31/03/2020,166.2993011,166.8000031,170.9299927,164.1999969,165.4799957,23676300
01/04/2020,159.1209106,159.6000061,164.1499939,158.0399933,161.6199951,19507600
02/04/2020,157.7151337,158.1900024,161.3500061,155.9199982,159.1000061,20886300
03/04/2020,153.7171783,154.1799927,157.9100037,150.8300018,157.1499939,25983300
06/04/2020,165.0530548,165.5500031,166.1999969,158.5099945,160.1499939,28453600
07/04/2020,168.3231964,168.8300018,173.3899994,166.0099945,171.7899933,31411900
08/04/2020,173.7568359,174.2799988,175,167.7400055,171.25,21664200
09/04/2020,174.6641083,175.1900024,177.0800018,171.5700073,175.8999939,23534300
13/04/2020,174.2652893,174.7899933,175,169.4499969,173.6699982,19355400
14/04/2020,177.6351624,178.1699982,181.2299957,176.6199951,178.9799957,21011800
15/04/2020,176.4387512,176.9700012,178.1900024,172.8200073,175.1900024,17423000
16/04/2020,175.7209167,176.25,178.0500031,172.5099945,177.9499969,23593200
17/04/2020,178.7019653,179.2400055,180.2799988,176.6600037,179.1999969,20974800
20/04/2020,177.7049561,178.2400055,180.5,176.7700043,177.4100037,16110700
21/04/2020,170.2872925,170.8000031,175.3800049,168.3399963,175.25,24850500
22/04/2020,181.7328339,182.2799988,184.7799988,178.1399994,178.4499969,33242000
23/04/2020,184.5742798,185.1300049,187.0500031,183.1499939,184.0800018,21426600
24/04/2020,189.4994507,190.0700073,190.4100037,180.8300018,183.2299957,28792000
27/04/2020,186.937149,187.5,193.75,187.4100037,192.6600037,29197800
28/04/2020,182.3609314,182.9100037,189.1999969,182.5599976,188.6600037,21731000
29/04/2020,193.6070709,194.1900024,196.9100037,190,190.9299927,45954500
30/04/2020,204.0955048,204.7100067,209.6900024,201.5700073,206.9199982,46230100
01/05/2020,201.6628265,202.2700043,207.2799988,199.0500031,201.6000061,30415600
04/05/2020,204.6438293,205.2599945,205.9100037,198.7599945,200.1999969,19250700
05/05/2020,206.44841,207.0700073,210.3800049,206.5,207.0200043,21071200
06/05/2020,207.8442078,208.4700012,211.6000061,206.6600037,208.1199951,21857000
07/05/2020,210.6258392,211.2599945,211.6000061,209.0399933,211.1600037,15152000
08/05/2020,211.7125549,212.3500061,213.2100067,210.8500061,212.2400055,12506000
11/05/2020,212.5400543,213.1799927,215,210.3699951,210.8899994,12911900
12/05/2020,209.4693146,210.1000061,215.2799988,210,213.2899933,14704600
13/05/2020,204.4843292,205.1000061,210.7799988,202.1100006,209.4299927,20684600
14/05/2020,206.1891785,206.8099976,206.9299927,200.6900024,202.5599976,17178900
15/05/2020,210.2469788,210.8800049,211.3399963,204.1199951,205.2700043,19383200
18/05/2020,212.5500488,213.1900024,214.6399994,210.9400024,212.1499939,20151900
19/05/2020,216.2289581,216.8800049,220.4900055,212.8300018,213.2700043,31843200
20/05/2020,229.2796631,229.9700012,231.3399963,223.1900024,223.5,50162900
21/05/2020,230.6954041,231.3899994,237.1999969,231.1999969,234.7200012,47782600
22/05/2020,234.204834,234.9100037,235.9900055,228.7400055,231.5099945,33925600
26/05/2020,231.5029755,232.1999969,240.8999939,231.6699982,239.7700043,33178300
27/05/2020,228.4521637,229.1399994,230.5599976,221.1300049,229.0700073,34697600
28/05/2020,224.7832184,225.4600067,231.6300049,224,224.3000031,29377200
29/05/2020,224.4143219,225.0899963,227.4900055,222.8800049,225.1999969,23241500
01/06/2020,231.2138519,231.9100037,232.4400024,223.5,224.5899963,18223800
02/06/2020,232.0214081,232.7200012,233,226.5599976,230.9400024,20919000
03/06/2020,229.469101,230.1600037,232.6499939,228.5299988,232.1100006,15380300
04/06/2020,225.6107178,226.2899933,231.6300049,224.6100006,229.5599976,17041500
05/06/2020,230.0772705,230.7700043,231.3500061,225.3099976,226.7100067,16750400
08/06/2020,230.705368,231.3999939,231.5500031,227.4100037,229.0299988,15466500
09/06/2020,237.9535522,238.6699982,239.7700043,230.4100037,231.5200043,27462900
